1968,GOLD AM,,GOLD PM,,SILVER,
1972 Low,43.725,17.122,44,17.239,137.4,53.8
1972 Average,58.1739,23.3793,58.2305,23.4044,167.6897,67.3498



1973,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,66.2,27.83,66.075,27.804,204.6,87.05
Jan Low,64.1,27.24,63.9,27.156,195.6,82.9
Jan Avg,65.1268,27.6488,65.1386,27.6475,200.0364,84.9227
Feb High,89,35.851,86.5,35.22,245.9,99.3
Feb Low,66.4,27.835,66.6,27.866,203,85.15
Feb Avg,73.9713,30.5406,74.1975,30.64,221.7,91.1125
Mar High,91.5,36.886,90,36.334,249.2,102.1
Mar Low,80.25,32.543,80,32.402,214.7,87.1
Mar Avg,84.1047,33.9697,84.3716,34.094,223.2438,92.1409
Apr High,91.25,36.706,91.25,36.683,224.7,90.4
Apr Low,89.25,35.982,89.25,35.988,209.5,84.4
Apr Avg,90.4408,36.4198,90.4961,36.4356,217.9632,87.7816
May High,114.5,44.596,114.75,44.728,255.1,99.4
May Low,90.3,36.239,90.3,36.239,211.5,84.9
May Avg,101.6227,40.1174,101.9591,40.2331,234.4409,92.6182
June High,127,49.035,126,48.752,273.4,105.7
June Low,115.5,44.898,115.5,44.881,246.2,95.7
June Avg,119.8,46.488,120.119,46.6083,258.4048,100.3214
July High,127,49.301,127,49.324,296.3,117.05
July Low,114,45.359,114.25,45.007,266.8,104.1
July Avg,120.3636,47.3295,120.1659,47.2638,281.1773,110.6341
Aug High,117,46.462,117.5,46.701,291.6,115.9
Aug Low,92.5,37.407,94,38.173,255.6,103.9
Aug Avg,106.225,42.858,106.7614,43.0784,267.4909,107.9682
Sept High,106.975,44.694,106.1,43.885,277.7,114.6
Sept Low,100,41.475,100,41.42,252.2,105
Sept Avg,103.0338,42.6001,102.97,42.5542,263.285,108.8725
Oct High,103.75,42.845,103.75,42.846,299.9,122.25
Oct Low,97,39.909,96.75,39.996,270.1,111.95
Oct Avg,99.9228,41.1506,100.0772,41.1906,284.8522,117.2826
Nov High,101.5,43.439,101.75,43.46,295.5,126.4
Nov Low,89.75,37.597,90,37.602,275.7,115.6
Nov Avg,94.6455,39.5987,94.9159,39.7233,283.1455,118.4795
Dec High,112.75,48.656,112.25,48.306,325.6,140.2
Dec Low,100,42.739,100.25,42.825,291.7,124.7
 Dec Avg,106.2361,45.7955,106.7194,46.0122,309.1056,133.2583
1973 High,127,49.301,127,49.324,325.6,140.2
1973 Low,64.1,27.24,63.9,27.156,195.6,82.9
1973 Average,97.1174,39.5427,97.3157,39.6221,254.571,103.6334




1974,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,141.75,65.428,141,64.105,401.5,181.6
Jan Low,114.75,49.596,116.5,50.459,327.1,141.9
Jan Avg,129.0273,58.0703,129.1909,58.0949,359.3227,162.0159
Feb High,178,76.906,175,75.594,676.1,293
Feb Low,132,57.718,130.5,57.312,404.2,176.8
Feb Avg,150,65.8618,150.2325,65.97,526.495,231.185
Mar High,177,75.814,177.5,75.34,573.4,252.7
Mar Low,158.25,67.918,159,68.505,501.3,215
Mar Avg,168.2976,71.9487,168.4214,71.9011,535.1667,228.919
Apr High,179.5,74.948,179.5,74.87,561.7,232.1
Apr Low,166.75,68.876,167,69.607,434.3,184
Apr Avg,172.2175,72.0143,172.235,72.0195,501.415,209.71
May High,170.5,70.674,169.65,70.056,601.9,249.4
May Low,154.25,64.405,154,64.354,461.8,193
May Avg,163.5682,67.7248,163.2682,67.6052,536.6773,222.3068
June High,160.75,66.563,161.75,67.2,520.3,216.6
June Low,143.65,60.357,144.25,60.399,448.4,188.5
June Avg,154.0125,64.4214,154.1,64.4549,482.745,202.005
July High,160.5,67.051,157.5,65.825,503.3,210.6
July Low,131.5,55.074,129,53.977,378.7,158.7
July Avg,142.2826,59.5496,142.9783,59.8257,434.8565,182.0478
Aug High,157.5,67.328,159.4,67.285,495,208
Aug Low,152.25,64.105,151.5,64.141,411.6,177.5
Aug Avg,154.3619,65.739,154.6381,65.8787,444.2,189.1667
Sept High,158.5,68.638,158.5,68.544,424.5,183
Sept Low,144,62.026,145.4,62.554,382.6,165.1
Sept Avg,151.6595,65.465,151.9095,65.5064,404.5143,174.6619
Oct High,169.5,72.631,168.25,72.056,514.9,220.8
Oct Low,153.5,65.699,154,65.953,442.6,189.6
Oct Avg,158.5326,67.9528,158.7761,68.0414,478.5,205.1587
Nov High,190,81.812,190.5,81.865,506.1,217.4
Nov Low,168.6,71.938,167.75,71.743,421,181.15
Nov Avg,181.4833,77.9483,181.6548,78.023,468.1143,201.0571
Dec High,197.5,84.193,195.25,83.244,477.5,203.9
Dec Low,170.5,73.352,174.25,74.885,416.8,179.5
 Dec Avg,183.6825,78.8495,183.85,78.8966,441.605,189.5925
1974 High,197.5,84.193,195.25,83.244,676.1,293
1974 Low,114.75,49.596,116.5,50.459,327.1,141.9
1974 Average,158.7636,67.8193,158.846,67.833,467.1508,199.5299



1975,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,185,79.127,180.25,76.599,445.4,189.8
Jan Low,171.25,72.779,169.5,71.99,398.8,167.1
Jan Avg,176.8636,74.8541,176.2682,74.581,422.9545,178.9955
Feb High,186.25,77.109,185.25,77.004,467.6,194.7
Feb Low,173.5,72.89,173.4,73.033,410.9,172.8
Feb Avg,179.5525,74.9835,179.59,74.9488,439.335,183.4525
Mar High,181.6,74.671,181.85,74.743,449.8,186.3
Mar Low,176.5,73.22,176.25,72.785,424,175.5
Mar Avg,178.2026,73.6546,178.1579,73.6356,438.4105,181.2132
Apr High,177.65,73.747,177.25,73.6,442.6,188
Apr Low,164.25,69.695,164,69.409,408.5,172.1
Apr Avg,170.0659,71.7377,169.8432,71.618,423.3818,178.6182
May High,172.75,74.542,174.75,75.013,474.2,204.35
May Low,163.5,69.932,163.5,69.723,430,182.95
May Avg,167.2929,72.0412,167.3905,72.0704,453.3476,195.2905
June High,166,75.174,166.25,76.349,457.7,208.2
June Low,162.25,70.509,161.75,69.777,441.4,189.8
June Avg,164.25,71.9282,164.2381,71.9975,448.8048,196.7714
July High,167.75,77.467,168.4,77.582,513.9,236.5
July Low,162.75,74.055,162.5,74.154,451,205.2
July Avg,164.8674,75.4348,165.1652,75.5654,469.2826,214.8761
Aug High,166.5,78.474,166.75,78.225,521.1,248.1
Aug Low,161.4,76.354,159.8,75.699,463.4,219.5
Aug Avg,163.1675,77.1454,162.9975,77.0186,492.69,233.005
Sept High,154.25,73.132,155,73.47,458.2,220
Sept Low,128.75,62.515,128.75,62.774,439.4,208.05
Sept Avg,144.3114,69.1143,144.0932,69.037,449.2682,215.3864
Oct High,146,71.035,146.25,71.064,454.5,223.3
Oct Low,137.5,67.237,138.9,68.128,418.4,201.7
Oct Avg,142.6913,69.3538,142.7565,69.3743,433.4783,210.863
Nov High,146.5,70.944,145.9,70.62,445.4,215.8
Nov Low,138.25,68.549,138.15,68.374,420.1,202.5
Nov Avg,142.565,69.4866,142.415,69.4137,432.085,210.69
Dec High,142,70.227,142.4,70.446,424.6,209.9
Dec Low,137,67.678,137.25,67.801,392.8,194.05
 Dec Avg,139.2786,68.8811,139.3025,68.8778,408.9095,202.2357
1975 High,186.25,79.127,185.25,78.225,521.1,248.1
1975 Low,128.75,62.515,128.75,62.774,392.8,167.1
1975 Average,160.8659,72.3515,160.8775,72.326,442.5634,200.253


1976,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,140.35,69.36,140.35,69.336,427.25,210
